date,trades,wins,losses,realized_pnl,unrealized_pnl,total_equity,win_rate,open_positions,signals_seen,signals_vetoed
2026-03-12,6,4,2,357.19,0,21154.53,66.7,0,150,0
2026-03-13,2,0,2,-590.21,0,20564.33,0.0,0,29,0
2026-03-13,2,0,2,-551.37,0,20012.97,0.0,0,29,0
2026-03-13,2,0,2,-545.64,0,19454.36,0.0,0,25,0
2026-03-13,2,1,1,-17.59,0,19449.74,50.0,0,33,0
2026-03-12,7,5,2,508.5,0,19958.23,71.4,0,91,0
2026-03-13,2,1,1,0.65,0,19958.88,50.0,0,33,0
2026-03-12,12,9,3,655.07,0,20613.94,75.0,0,1069,0
2026-03-13,12,10,2,627.17,0,21017.96,83.3,0,864,0
2026-03-12,12,9,3,661.11,0,21275.05,75.0,0,633,0
2026-03-13,12,10,2,615.96,0,20615.96,83.3,0,1305,0
2026-03-12,12,9,3,661.11,0,21277.06,75.0,0,1069,0
2026-03-13,12,10,2,649.35,0,21926.43,83.3,0,1305,0
2026-03-13,2,0,2,-669.99,0,21351.71,0.0,0,18,0
2026-03-12,7,5,2,507.99,0,22434.4,71.4,0,91,0
2026-03-13,2,1,1,4.02,0,21930.43,50.0,0,33,0
2026-03-12,5,4,1,703.07,0,23141.49,80.0,0,91,0
2026-03-13,2,2,0,564.71,0,23003.13,100.0,0,29,0
